@relation 2014_fertig-weka.filters.unsupervised.attribute.NominalToString-Cfirst-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute Tweet string
@attribute Label {0,1}

@data
'4 neue Follower - fuehle mich wie das ZDF als das Geruecht aufkam die WM wird auf arabisch uebertragen. multikulti ',0
' Es kann nur einen Pinky-Pie geben!!! MultiKulti',0
'Ich reviewe gerne Shooter Cosplaye in meiner Freizeit Pinky-Pie und mein bester Freund ist Max Payne 3! MultiKulti',0
' Fein! Bringt ihr auch genuegend babelfishe mit? multikulti izsm14',0
'An die ihren Enkel ermahnende alte Dame: Reddisch polnisch empfiehlt sich nicht als weiser Ausspruch mitten in Offenbach. multikulti',0
'  Was bitte ist ein Auslaender? Multikulti Weltwirtschaft Europa aber es gibt doch nur eine Welt da ist diese Auslaender…',0
'Was bitte ist ein Auslaender? Multikulti Weltwirtschaft Europa aber es gibt doch nur eine Welt da ist diese Auslaender Diskussion dumm',0
'MT  Christians in Pakistan are under siege  ',1
'Ein Gesetz fuer fromme Paedophile. ',1
'heiliger Hammer  ich hab nur 1deutsches Ace attorney! dazu 2 englische und 3 japanische! laeuft! multikulti',0
'ich verschicke zur zeit sprachnotizen auf 3 verschiedenen sprachen. multikulti',0
'  Danke fuer Dein Statement  ',0
'Danke fuer Dein Statement  ',0
'What an Wonderful World! Nach der Europawahl ging ich in frankfurt  an einem Spielplatz vorbei - wie schoen multikulti sein kann',0
'10 Jahre Schulhaus Im Birch zuerich multikulti Live erleben... ',0
'  Im Gegensatz zu Gauck halten die Leser der Welt Multikulti fuer gescheitert! SchauHin ',0
'Im Gegensatz zu Gauck halten die Leser der Welt Multikulti fuer gescheitert! SchauHin ',0
' FALSCH Es geht nicht um anpassen MultiKulti ist miteinander u nebeneinander von Kulturen u lernen voneinander',0
'World Village Festival - Die Welt zu Besuch in Helsinki am Wochenende ',0
'  Missbrauch von Hartz IV mit Foto von Frau mit Kopftuch/ Muslime assoziieren ist ganz schoen Islamophobia ',0
'Missbrauch von Hartz IV mit Foto von Frau mit Kopftuch/ Muslime assoziieren ist ganz schoen Islamophobia  ',0
'ich meine 16 Nationen gibt’s beim hrSO bin mir aber nicht ganz sicher. Multikulti kulturffm',0
' die grenzenlose gruene Mark multikulti des Tierreichs ',1
'Liebe Nazis ... die Kartoffel ist wohl eher Symbol dafuer dass MultiKulti und Einwanderung in Deutschland sehr willkommen ist!',0
'Im Stuttgarter Multikulti-Viertel Veielbrunnen geht nur jeder 4te zur Wahl. Warum? Eine  ',0
'  welcher Kanton hat denn noch einen Dialekt ? multikulti mischmasch',0
