@relation 'labelledToWeka-weka.filters.unsupervised.attribute.Reorder-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NominalToString-Cfirst-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-weka.filters.unsupervised.attribute.NominalToString-Cfirst'

@attribute Tweet string
@attribute Label {0,1}

@data
'Das neue Jahr2017 beginnt leider wie das alte Jahr geendet hat. Krimigranten NafrisRaus Fluechtlingspolitik ',0
'Silverster 2016 in Koeln merkelmussweg krimigranten asylterror',0
'Silverster 2016 in Koeln merkelmussweg krimigranten asylterror',0
'Es geht los popcorn rapefugees cologne koeln ',0
'Biblis: Ehepaar (75 79) in eigener Wohnung ueberfallen! schauhin was fuer Leute so was machen: ',0
'Es ist nur noch der Wahnsinn! “Kiss me” – Frau massiv bedraengt Mannheim Krimigranten ',0
'Noch ein Grund fuer die DSI. krimigranten',0
'WISSEN Asylantenkrise &amp; Asylflut und die Folgen: 700.000 Asylanten beziehen bereits in 2016 Hartz IV: ',0
'DAS MACHT MICH WUETEND! Das Jobwunder der letzten Jahre beruht zu einem großen Teil auf Millionen prekaerer Jobs in Leiharb',0
'Komisch das sich ueber diesen „realen“ Menschenjagenden Mob keiner der empoerten empoert. Wahrscheinlich weil',0
'Ich frage mich ob die Neujahrsansprache von Merkel an Deutsche oder eher an Asylanten und Migranten  gerichtet ist wenn sie von unseren Werten wie Offenheit Tolleranz und Respekt spricht?',0
'amberg Hetzjagd Gab es schon eine Stellungnahme von Seibert zu den realen Hetzjagden oder waren die Opfer nur Deutsche also Menschen zweiter Klasse? Merkel Asylanten',0
'„Dass so massiv so viele Menschen grundlos angegriffen werden ist ein sehr seltener Fall“ sagte der Beamte unserem Medienhaus. Ein Motiv für den Exzess sei nicht bekannt.',0
'Appell an die Bundesregierung - Kirche fuer Aufnahme von 32 Mittelmeer-Bootsfluechtlingen. Fluechtlinge migration ',0
'Offenheit Toleranz u.Respekt gegenueber den Wirtschaftseliten ist  erkennbar. Allen Anderen gegenueber haelt sich das sehr in Grenzen Hartz4 Fluechtlinge Arbeitnehmer Rentner',0
'Schlepper wagen sich wieder vermehrt Fluechtlinge und Migranten nach Europa zu bringen. seenotrettung Seebruecke',0
